count(distinct l_linenumber)
7
sum(distinct l_linenumber)	avg(distinct l_linenumber)	count(distinct l_linenumber)
58453	8454	0.06
58481	3492	0.03
58516	6032	0.06
58520	6036	0.05
58535	3546	0.05
58546	8547	0.03
58551	3562	0.00
58644	3655	0.07
58677	8678	0.03
58688	1194	0.08
58694	8695	0.04
58695	6211	0.08
58707	3718	0.07
58724	6240	0.03
58726	3737	0.08
58738	6254	0.08
58860	3871	0.08
58873	6389	0.04
58891	6407	0.08
58902	8903	0.07
58914	6430	0.00
58925	3936	0.08
58930	3941	0.02
58944	8945	0.02
58950	3961	0.04
58956	8957	0.06
58957	3968	0.05
58967	6483	0.01
58986	1492	0.08
58992	8993	0.02
58995	1501	0.04
58995	6511	0.03
59018	1524	0.00
59018	9019	0.06
59048	4059	0.00
59148	4159	0.02
59159	6675	0.03
59197	1703	0.06
59206	1712	0.03
59231	9232	0.07
59267	6783	0.03
59278	4289	0.07
59300	9301	0.08
59310	1816	0.00
59349	9350	0.05
59360	4371	0.04
59402	4413	0.07
59432	9433	0.02
59455	9456	0.02
59474	9475	0.03
59477	1983	0.08
59478	6994	0.04
59491	7007	0.07
59576	4587	0.04
59581	4592	0.06
59597	2103	0.01
59620	2126	0.01
59620	7136	0.01
59646	9647	0.05
59660	9661	0.01
59694	4705	0.07
59748	9749	0.05
59754	9755	0.01
59762	7278	0.07
59801	4812	0.08
59829	9830	0.07
59855	4866	0.01
59872	9873	0.05
59890	2396	0.01
59896	4907	0.04
59901	2407	0.08
59905	7421	0.07
59906	7422	0.03
59942	7458	0.00
59955	9956	0.06
59974	9975	0.00
59978	2484	0.05
59983	7499	0.05
59997	5008	0.08
60007	8	0.04
60046	7565	0.04
60071	7590	0.08
60074	7593	0.03
60085	2592	0.05
60101	2608	0.08
60102	103	0.00
60149	2656	0.08
60152	2659	0.03
60159	5172	0.02
60187	7706	0.05
60193	7712	0.00
60210	211	0.01
60221	222	0.07
60230	2737	0.08
60248	7767	0.06
60318	5331	0.08
60346	347	0.01
60375	7894	0.07
60380	5393	0.05
60409	5422	0.04
60434	435	0.06
60445	5458	0.05
60454	5467	0.07
60469	7988	0.08
60519	5532	0.05
60556	5569	0.07
60621	3128	0.04
60623	5636	0.02
60637	3144	0.02
60646	5659	0.06
60682	5695	0.02
60733	734	0.08
60775	5788	0.08
60776	3283	0.15
60778	8297	0.04
60779	3286	0.02
60796	8315	0.02
60844	845	0.02
60844	8363	0.08
60852	5865	0.06
60874	5887	0.02
60898	5911	0.03
60907	5920	0.07
60918	5931	0.04
60945	946	0.02
60950	951	0.05
60961	3468	0.00
60967	8486	0.03
60978	979	0.02
61015	8534	0.08
61023	3530	0.04
61051	8570	0.05
61080	1081	0.08
61082	3589	0.02
61083	6096	0.04
61109	8628	0.04
61141	6154	0.03
61158	8677	0.07
61186	6199	0.04
61226	6239	0.06
61291	8810	0.00
61309	1310	0.00
61332	6345	0.03
61336	8855	0.04
61422	3929	0.06
61457	6470	0.01
61553	9072	0.07
61607	1608	0.08
61652	9171	0.05
61698	9217	0.01
61718	6731	0.01
61732	9251	0.07
61740	1741	0.05
61744	1745	0.01
61771	6784	0.02
61774	1775	0.08
61785	9304	0.06
61816	9335	0.02
61826	9345	0.07
61832	4339	0.06
61866	9385	0.01
61924	6937	0.04
61930	6943	0.00
61931	1932	0.07
61958	1959	0.01
62015	4522	0.06
62029	2030	0.05
62032	4539	0.04
62047	7060	0.01
62057	4564	0.08
62067	2068	0.06
62084	7097	0.07
62096	2097	0.03
62126	2127	0.03
62143	9662	0.02
62190	7203	0.00
62204	9723	0.04
62257	9776	0.04
62275	4782	0.07
62282	2283	0.02
62375	9894	0.02
62376	7389	0.04
62417	2418	0.06
62426	7439	0.07
62433	9952	0.07
62456	2457	0.06
62472	4979	0.04
62482	4989	0.04
62498	2499	0.04
62620	2621	0.08
62672	191	0.05
62710	229	0.00
62714	5221	0.02
62733	252	0.01
62739	5246	0.03
62801	7814	0.03
62804	2805	0.08
62842	7855	0.04
62873	5380	0.07
62890	409	0.07
62910	5417	0.01
62910	7923	0.06
62911	7924	0.03
62913	432	0.05
62918	437	0.07
62934	453	0.07
62934	2935	0.00
62947	466	0.07
62969	2970	0.06
62977	2978	0.03
63019	5526	0.06
63021	8034	0.01
63032	5539	0.02
63045	564	0.01
63081	3082	0.05
63111	3112	0.03
63136	3137	0.03
63179	8192	0.02
63194	3195	0.04
63217	8230	0.08
63228	5735	0.04
63233	8246	0.03
63244	8257	0.07
63261	780	0.07
63297	8310	0.01
63313	5820	0.03
63336	5843	0.03
63342	5849	0.07
63369	8382	0.04
63380	5887	0.05
63384	8397	0.07
63419	938	0.03
63434	953	0.05
63457	3458	0.05
63495	1014	0.07
63505	3506	0.04
63519	6026	0.02
63521	8534	0.01
63534	1053	0.02
63555	1074	0.08
63587	8600	0.07
63603	1122	0.04
63696	3697	0.02
63700	3701	0.02
63703	1222	0.06
63720	6227	0.04
63745	3746	0.01
63756	6263	0.05
63757	6264	0.00
63762	3763	0.05
63775	3776	0.08
63777	3778	0.01
63815	1334	0.04
63836	1355	0.04
63875	3876	0.01
63884	1403	0.00
63896	1415	0.06
63902	6409	0.08
63905	1424	0.08
63923	8936	0.01
63936	6443	0.08
63938	1457	0.05
63962	8975	0.03
63981	1500	0.00
63994	9007	0.00
64012	1531	0.00
64034	6541	0.03
64060	1579	0.01
64060	6567	0.06
64075	9088	0.01
64077	4078	0.02
64118	6625	0.08
64125	6632	0.01
64128	9141	0.08
64154	4155	0.05
64161	1680	0.02
64173	4174	0.03
64192	9205	0.06
64220	1739	0.03
64222	6729	0.05
64230	1749	0.08
64236	9249	0.06
64242	1761	0.01
64270	1789	0.00
64279	9292	0.03
64284	9297	0.04
64294	6801	0.02
64297	9310	0.02
64313	1832	0.02
64332	9345	0.02
64343	4344	0.07
64345	1864	0.00
64353	6860	0.04
64367	1886	0.03
64397	1916	0.06
64404	1923	0.08
64412	9425	0.02
64416	1935	0.03
64435	4436	0.01
64486	4487	0.03
64486	9499	0.01
64524	2043	0.06
64553	2072	0.01
64569	4570	0.00
64570	4571	0.04
64570	7077	0.03
64580	9593	0.08
64581	4582	0.05
64629	4630	0.01
64770	9783	0.05
64783	2302	0.05
64829	9842	0.05
64871	4872	0.08
64888	9901	0.03
64892	9905	0.02
64917	7424	0.03
64943	2462	0.07
64943	7450	0.05
64955	9968	0.00
65004	5005	0.07
65047	60	0.06
65048	5049	0.07
65054	2573	0.08
65060	5061	0.08
65061	7568	0.02
65102	7609	0.07
65123	5124	0.03
65140	5141	0.07
65155	5156	0.02
65168	2687	0.08
65170	5171	0.04
65175	2694	0.03
65209	7716	0.08
65211	2730	0.00
65213	5214	0.04
65229	242	0.05
65248	2767	0.04
65256	2775	0.08
65260	5261	0.03
65364	5365	0.02
65367	5368	0.08
65422	5423	0.08
65504	517	0.00
65508	3027	0.04
65513	5514	0.02
65533	8040	0.05
65547	8054	0.04
65552	5553	0.08
65555	3074	0.06
65556	5557	0.08
65577	5578	0.03
65589	8096	0.00
65635	8142	0.05
65651	5652	0.08
65662	5663	0.06
65685	5686	0.06
65700	3219	0.00
65702	8209	0.06
65736	749	0.08
65786	5787	0.01
65789	802	0.05
65802	3321	0.02
65810	823	0.03
65862	3381	0.07
65872	3391	0.01
65887	5888	0.06
65916	3435	0.07
65973	3492	0.08
65994	3513	0.08
66020	6021	0.01
66056	1069	0.06
66103	3622	0.02
66124	1137	0.08
66130	1143	0.08
66183	8690	0.08
66230	8737	0.02
66249	6250	0.06
66291	3810	0.06
66381	3900	0.06
66386	6387	0.05
66395	6396	0.07
66415	1428	0.04
66426	8933	0.05
66430	6431	0.05
66431	8938	0.01
66458	6459	0.04
66461	3980	0.08
66465	1478	0.07
66486	1499	0.00
66551	1564	0.06
66556	9063	0.05
66727	6728	0.03
66751	6752	0.07
66777	1790	0.04
66779	1792	0.01
66780	4299	0.05
66812	4331	0.03
66850	9357	0.01
66877	6878	0.02
66938	6939	0.00
66974	4493	0.01
66989	2002	0.05
66993	9500	0.05
67005	9512	0.03
67014	9521	0.05
67031	4550	0.05
67040	7041	0.08
67051	7052	0.06
67083	4602	0.07
67093	2106	0.05
67094	2107	0.08
67102	2115	0.07
67102	4621	0.07
67134	2147	0.04
67155	9662	0.01
67177	2190	0.01
67190	2203	0.02
67265	7266	0.04
67277	2290	0.01
67310	7311	0.06
67312	4831	0.02
67318	2331	0.04
67401	4920	0.08
67405	2418	0.05
67432	2445	0.06
67439	7440	0.01
67446	9953	0.00
67448	2461	0.06
67448	4967	0.06
67462	2475	0.04
67465	4984	0.07
67581	7582	0.04
67615	7616	0.03
67618	5137	0.08
67625	7626	0.01
67629	2642	0.00
67666	2679	0.02
67680	2693	0.02
67697	5216	0.03
67706	2719	0.00
67733	2746	0.01
67746	2759	0.05
67763	270	0.02
67772	7773	0.02
67787	7788	0.00
67790	5309	0.04
67826	333	0.08
67827	2840	0.00
67830	5349	0.05
67831	5350	0.08
67860	5379	0.01
67863	370	0.01
67876	2889	0.07
67893	2906	0.05
67896	5415	0.08
67901	408	0.00
67926	7927	0.06
68007	8008	0.06
68031	8032	0.06
68109	3122	0.03
68123	5642	0.01
68182	689	0.02
68198	5717	0.03
68219	726	0.05
68223	3236	0.03
68226	8227	0.02
68229	3242	0.08
68232	3245	0.04
68239	5758	0.05
68240	5759	0.08
68247	8248	0.03
68299	5818	0.07
68303	810	0.04
68318	3331	0.03
68349	856	0.08
68370	8371	0.05
68380	5899	0.06
68431	8432	0.06
68433	3446	0.03
68446	5965	0.04
68481	988	0.06
68494	3507	0.05
68501	6020	0.02
68532	3545	0.08
68535	1042	0.02
68555	1062	0.05
68561	6080	0.07
68566	3579	0.04
68651	6170	0.07
68664	3677	0.06
68681	8682	0.05
68766	6285	0.02
68813	8814	0.04
68899	1406	0.08
68931	3944	0.00
68978	3991	0.05
68994	1501	0.03
69009	4022	0.07
69017	1524	0.04
69026	6545	0.00
69055	4068	0.03
69083	9084	0.08
69090	1597	0.03
69111	4124	0.03
69115	9116	0.03
69120	6639	0.06
69130	4143	0.05
69138	6657	0.04
69153	6672	0.00
69193	9194	0.03
69212	4225	0.01
69220	9221	0.03
69227	4240	0.01
69238	4251	0.04
69266	4279	0.00
69303	6822	0.03
69329	9330	0.05
69375	9376	0.06
69423	6942	0.04
69430	9431	0.08
69439	4452	0.02
69454	6973	0.07
69465	1972	0.07
69479	6998	0.01
69538	7057	0.08
69541	7060	0.05
69553	7072	0.03
69561	9562	0.02
69576	2083	0.02
69585	4598	0.03
69593	9594	0.05
69594	2101	0.08
69644	9645	0.05
69662	7181	0.00
69664	2171	0.08
69696	4709	0.05
69703	2210	0.05
69731	7250	0.05
69749	7268	0.08
69751	4764	0.02
69755	4768	0.00
69769	7288	0.07
69821	2328	0.03
69846	9847	0.07
69872	9873	0.03
69885	9886	0.00
69920	4933	0.06
69922	4935	0.08
69928	7447	0.03
69944	2451	0.04
69946	7465	0.03
69971	9972	0.06
69990	5003	0.07
70019	20	0.01
70043	5058	0.02
70055	2563	0.01
70056	5071	0.05
70072	73	0.04
70095	96	0.05
70101	102	0.07
70122	7644	0.04
70144	7666	0.06
70167	2675	0.08
70175	7697	0.03
70181	5196	0.01
70191	2699	0.07
70290	7812	0.01
70291	2799	0.00
70304	305	0.07
70317	5332	0.04
70338	339	0.01
70364	5379	0.08
70382	2890	0.04
70389	390	0.04
70423	424	0.01
70451	7973	0.08
70470	2978	0.04
70492	493	0.00
70495	3003	0.04
70495	5510	0.02
70504	3012	0.01
70504	8026	0.00
70507	508	0.03
70554	8076	0.07
70593	8115	0.06
70598	599	0.08
70598	3106	0.06
70629	8151	0.07
70665	3173	0.01
70681	682	0.06
70694	695	0.05
70735	5750	0.06
70776	777	0.08
70776	5791	0.02
70782	5797	0.03
70789	5804	0.08
70796	3304	0.01
70799	5814	0.07
70810	5825	0.06
70822	823	0.04
70841	8363	0.08
70866	8388	0.08
70869	870	0.03
70870	5885	0.05
70883	5898	0.08
70885	5900	0.01
70960	3468	0.00
70988	6003	0.01
71002	3510	0.06
71005	3513	0.06
71007	6022	0.04
71009	1010	0.08
71018	8540	0.04
71024	1025	0.01
71111	6126	0.05
71128	6143	0.02
71151	8673	0.06
71159	6174	0.00
71160	3668	0.05
71224	3732	0.03
71233	6248	0.07
71245	6260	0.02
71252	3760	0.01
71266	8788	0.02
71271	8793	0.04
71317	8839	0.01
71326	1327	0.07
71333	6348	0.00
71347	1348	0.07
71377	8899	0.00
71383	3891	0.03
71385	6400	0.03
71392	1393	0.08
71454	1455	0.06
71466	8988	0.05
71468	3976	0.03
71490	1491	0.02
71513	1514	0.00
71552	4060	0.07
71557	4065	0.07
71565	4073	0.06
71566	9088	0.05
71589	4097	0.02
71592	6607	0.02
71612	1613	0.01
71617	1618	0.06
71676	4184	0.07
71690	4198	0.03
71712	9234	0.04
71728	1729	0.07
71754	4262	0.08
71763	4271	0.04
71770	1771	0.00
71780	4288	0.00
71785	4293	0.01
71810	1811	0.07
71820	1821	0.06
71821	6836	0.07
71833	6848	0.05
71853	9375	0.01
71865	6880	0.05
71867	1868	0.02
71879	4387	0.06
71925	6940	0.06
71942	6957	0.08
71943	4451	0.05
71965	6980	0.06
72012	9534	0.08
72044	4552	0.06
72044	9566	0.00
72052	7067	0.05
72081	4589	0.00
72104	2105	0.11
72131	9653	0.02
72177	9699	0.00
72188	4696	0.08
72205	2206	0.00
72257	7272	0.00
72269	7284	0.02
72310	4818	0.01
72394	2395	0.05
72407	7422	0.00
72462	7477	0.08
72472	9994	0.06
72492	5000	0.01
72494	16	0.04
72503	25	0.07
72505	5013	0.06
72530	2531	0.07
72561	2562	0.02
72567	89	0.07
72576	5084	0.03
72618	5126	0.06
72620	142	0.02
72622	7637	0.03
72637	5145	0.00
72642	2643	0.01
72645	7660	0.02
72740	5248	0.04
72763	7778	0.01
72813	2814	0.02
72825	347	0.06
72850	5358	0.06
72852	374	0.02
72856	5364	0.02
72873	2874	0.03
72894	5402	0.01
72918	7933	0.00
72919	5427	0.00
72930	452	0.05
72936	7951	0.03
72943	2944	0.05
72971	5479	0.01
72990	5498	0.01
73019	541	0.00
73036	3037	0.07
73060	3061	0.07
73062	3063	0.02
73088	610	0.03
73092	614	0.07
73106	8121	0.07
73111	633	0.06
73144	666	0.06
73153	3154	0.06
73166	3167	0.06
73184	5692	0.07
73186	8201	0.02
73194	716	0.03
73204	726	0.04
73225	747	0.05
73230	5738	0.01
73235	3236	0.03
73265	5773	0.08
73333	855	0.01
73350	872	0.05
73365	5873	0.00
73389	5897	0.02
73403	3404	0.03
73419	941	0.04
73433	8448	0.03
73456	3457	0.05
73475	8490	0.03
73486	3487	0.04
73487	5995	0.04
73520	8535	0.05
73535	3536	0.03
73562	8577	0.06
73575	3576	0.02
73598	6106	0.02
73624	3625	0.03
73630	8645	0.03
73634	6142	0.04
73678	1200	0.08
73706	1228	0.07
73732	8747	0.02
73755	6263	0.01
73775	8790	0.08
73815	8830	0.05
73843	8858	0.00
73845	8860	0.00
73859	3860	0.01
73882	8897	0.03
73917	8932	0.04
73979	6487	0.02
73993	3994	0.08
74046	1568	0.05
74051	4052	0.05
74067	1589	0.01
74096	9111	0.05
74101	1623	0.01
74107	6615	0.04
74124	4125	0.01
74130	4131	0.00
74160	6668	0.01
74210	6718	0.08
74217	1739	0.02
74247	9262	0.01
74266	6774	0.02
74281	6789	0.01
74334	1856	0.02
74334	4335	0.03
74397	6905	0.03
74435	1957	0.02
74452	1974	0.00
74452	6960	0.00
74460	1982	0.00
74480	6988	0.02
74526	7034	0.06
74538	2060	0.03
74579	7087	0.03
74592	2114	0.05
74623	2145	0.01
74624	4625	0.04
74681	4682	0.02
74725	2247	0.06
74738	9753	0.03
74760	2282	0.04
74778	7286	0.01
74781	7289	0.00
74790	2312	0.04
74795	4796	0.08
74798	4799	0.04
74829	9844	0.04
74888	7396	0.04
74901	7409	0.02
74925	9940	0.08
74946	9961	0.04
74969	4970	0.00
74973	7481	0.04
74987	2509	0.07
75031	46	0.01
75127	7635	0.02
75159	2681	0.04
75170	185	0.00
75286	5287	0.04
75326	2848	0.03
75351	7859	0.07
75406	2928	0.06
75437	5438	0.01
75452	7960	0.06
75465	5466	0.03
75472	7980	0.01
75479	7987	0.02
75499	3021	0.08
75519	534	0.05
75520	5521	0.10
75535	550	0.08
75546	5547	0.03
75549	8057	0.03
75587	8095	0.06
75599	614	0.07
75606	3128	0.00
75623	638	0.04
75664	5665	0.03
75666	3188	0.08
75709	3231	0.04
75734	8242	0.08
75745	760	0.03
75760	5761	0.08
75766	8274	0.03
75789	804	0.03
75854	869	0.00
75858	3380	0.03
75908	5909	0.04
75919	8427	0.05
75930	5931	0.05
75933	8441	0.02
76004	8512	0.08
76016	3538	0.07
76033	1048	0.03
76048	8556	0.00
76063	3585	0.04
76076	6077	0.03
76096	3618	0.02
76099	6100	0.04
76111	8619	0.06
76114	3636	0.06
76129	8637	0.02
76148	1163	0.04
76155	8663	0.00
76162	8670	0.03
76172	1187	0.01
76182	3704	0.06
76225	8733	0.05
76230	1245	0.05
76258	1273	0.05
76305	8813	0.00
76308	1323	0.05
76322	3844	0.07
76340	3862	0.08
76356	6357	0.06
76379	1394	0.01
76404	8912	0.02
76558	4080	0.05
76625	6626	0.08
76754	1769	0.07
76783	9291	0.04
76810	6811	0.05
76824	9332	0.07
76837	4359	0.05
76887	9395	0.02
76898	1913	0.00
76907	6908	0.08
76976	6977	0.01
76977	6978	0.08
76988	4510	0.03
76997	9505	0.02
77004	9512	0.05
77014	7015	0.01
77050	4572	0.01
77071	2086	0.04
77098	4620	0.05
77154	7155	0.08
77158	9666	0.07
77162	7163	0.02
77170	4692	0.03
77176	4698	0.04
77182	4704	0.07
77243	9751	0.06
77298	4820	0.02
77312	4834	0.03
77327	7328	0.03
77363	4885	0.02
77370	9878	0.05
77377	4899	0.05
77402	4924	0.01
77412	2427	0.03
77425	9933	0.05
77435	2450	0.05
77470	2485	0.04
77504	2519	0.05
77506	14	0.03
77521	29	0.01
77534	42	0.02
77602	2617	0.00
77611	119	0.05
77611	7612	0.03
77639	5161	0.07
77643	151	0.08
77652	7653	0.07
77659	2674	0.03
77667	5189	0.01
77668	5190	0.07
77699	5221	0.08
77713	221	0.00
77733	2748	0.08
77743	5265	0.07
77746	7747	0.02
77764	2779	0.00
77799	5321	0.05
77802	2817	0.00
77820	2835	0.07
77847	355	0.08
77886	2901	0.03
77886	5408	0.02
77900	5422	0.06
77902	7903	0.04
77934	5456	0.04
77942	7943	0.04
77950	7951	0.06
77997	3012	0.05
78001	509	0.07
78005	3020	0.05
78027	5549	0.02
78040	5562	0.05
78044	5566	0.03
78048	8049	0.00
78060	8061	0.05
78107	8108	0.05
78121	8122	0.02
78139	647	0.05
78150	658	0.07
78152	8153	0.02
78153	5675	0.08
78154	662	0.02
78158	666	0.01
78172	3187	0.04
78175	3190	0.04
78184	692	0.01
78185	5707	0.02
78201	3216	0.01
78233	741	0.04
78239	747	0.00
78284	792	0.05
78296	804	0.04
78322	830	0.04
78328	5850	0.08
78348	5870	0.05
78373	8374	0.08
78406	8407	0.07
78411	8412	0.08
78417	3432	0.05
78421	5943	0.03
78437	5959	0.00
78446	3461	0.08
78465	3480	0.05
78510	8511	0.08
78526	8527	0.02
78542	6064	0.03
78583	8584	0.06
78600	8601	0.06
78616	6138	0.06
78617	6139	0.05
78686	6208	0.08
78696	8697	0.00
78703	3718	0.02
78713	1221	0.02
78716	8717	0.01
78748	8749	0.05
78767	6289	0.06
78789	6311	0.00
78826	6348	0.08
78851	1359	0.08
78860	6382	0.06
78973	8974	0.04
78993	6515	0.04
79046	9047	0.02
79080	6602	0.01
79210	1718	0.00
79212	4227	0.01
79222	6744	0.01
79226	9227	0.00
79234	4249	0.04
79251	1759	0.03
79262	4277	0.00
79264	6786	0.07
79273	6795	0.05
79276	4291	0.05
79277	6799	0.06
79292	6814	0.00
79304	1812	0.00
79370	1878	0.05
79423	9424	0.05
79439	4454	0.06
79474	9475	0.06
79525	4540	0.00
79528	2036	0.08
79528	9529	0.02
79623	9624	0.05
79640	2148	0.04
79649	9650	0.08
79662	4677	0.03
79671	4686	0.04
79688	7210	0.07
79689	2197	0.01
79690	7212	0.00
79692	4707	0.05
79744	7266	0.02
79745	4760	0.03
79758	9759	0.06
79762	4777	0.06
79827	9828	0.07
79831	2339	0.00
79857	2365	0.06
79871	4886	0.04
79892	4907	0.03
79895	7417	0.08
79919	9920	0.03
79922	2430	0.04
79926	2434	0.04
79982	7504	0.05
80049	2558	0.05
80066	2575	0.05
80096	2605	0.04
80101	102	0.01
80105	106	0.06
80110	111	0.07
80116	2625	0.05
80116	7641	0.08
80118	119	0.00
80129	5146	0.05
80130	7655	0.05
80219	220	0.08
80232	7757	0.00
80235	2744	0.01
80249	7774	0.03
80257	7782	0.01
80307	308	0.06
80311	2820	0.00
80318	7843	0.02
80334	5351	0.02
80426	7951	0.04
80444	2953	0.02
80467	5484	0.00
80474	2983	0.02
80476	8001	0.06
80498	499	0.08
80501	3010	0.08
80553	8078	0.06
80604	5621	0.00
80610	8135	0.03
80616	8141	0.08
80624	3133	0.04
80637	8162	0.03
80676	677	0.07
80685	3194	0.04
80689	5706	0.08
80721	722	0.06
80738	3247	0.03
80761	8286	0.01
80841	5858	0.08
80973	8498	0.08
81001	8526	0.06
81005	3514	0.07
81009	3518	0.01
81009	6026	0.06
81017	3526	0.06
81046	3555	0.08
81070	6087	0.04
81144	1145	0.04
81160	8685	0.02
81190	6207	0.02
81212	6229	0.05
81290	8815	0.04
81324	6341	0.08
81355	1356	0.03
81374	8899	0.06
81389	3898	0.03
81398	8923	0.00
81485	1486	0.03
81515	1516	0.05
81592	6609	0.02
81607	1608	0.00
81622	4131	0.07
81623	6640	0.08
81632	9157	0.04
81639	6656	0.04
81649	1650	0.01
81657	1658	0.04
81666	1667	0.03
81668	9193	0.00
81703	9228	0.07
81719	6736	0.06
81723	4232	0.02
81859	9384	0.04
81886	4395	0.05
81888	1889	0.06
81903	4412	0.08
81917	6934	0.00
81921	9446	0.03
81925	1926	0.03
81929	4438	0.00
81957	9482	0.03
81990	4499	0.05
82008	7025	0.05
82015	7032	0.03
82016	7033	0.08
82041	7058	0.05
82052	7069	0.00
82065	7082	0.11
82066	7083	0.00
82099	2100	0.06
82118	7135	0.00
82129	7146	0.05
82204	2205	0.03
82215	4724	0.00
82283	7300	0.08
82325	2326	0.08
82334	4843	0.05
82370	7387	0.04
82435	2436	0.08
82441	4950	0.03
82450	7467	0.06
82467	7484	0.05
82470	7487	0.02
82501	5010	0.04
82522	5031	0.01
82603	7620	0.07
82651	5160	0.01
82675	5184	0.01
82692	217	0.01
82704	7721	0.08
82714	2715	0.06
82716	5225	0.03
82721	7738	0.04
82724	5233	0.06
82745	5254	0.08
82747	272	0.04
82750	275	0.07
82751	7768	0.06
82758	5267	0.06
82786	2787	0.02
82787	5296	0.05
82816	7833	0.05
82848	2849	0.08
82868	393	0.07
82876	2877	0.01
82915	7932	0.03
82916	7933	0.02
82937	7954	0.00
83007	8024	0.01
83046	8063	0.05
83083	8100	0.00
83096	621	0.04
83164	689	0.07
83166	5675	0.08
83182	5691	0.00
83220	745	0.00
83247	5756	0.04
83255	8272	0.04
83262	5771	0.04
83288	3289	0.05
83298	3299	0.01
83306	831	0.07
83314	3315	0.07
83349	3350	0.06
83359	884	0.05
83378	8395	0.07
83413	938	0.06
83430	8447	0.00
83441	8458	0.04
83446	8463	0.02
83453	8470	0.06
83475	1000	0.07
83476	3477	0.03
83480	5989	0.03
83483	8500	0.03
83519	3520	0.08
83534	1059	0.05
83541	8558	0.08
83542	1067	0.03
83570	3571	0.05
83580	8597	0.03
83623	1148	0.04
83712	1237	0.07
83722	3723	0.01
83771	3772	0.02
83782	8799	0.00
83788	1313	0.06
83845	3846	0.01
83873	3874	0.05
83891	8908	0.00
83990	3991	0.06
84025	9042	0.05
84053	9070	0.03
84080	1605	0.01
84083	1608	0.03
84118	4119	0.02
84119	9136	0.06
84136	6645	0.04
84143	9160	0.04
84198	4199	0.04
84248	4249	0.04
84249	4250	0.06
84251	6760	0.01
84262	6771	0.05
84320	4321	0.07
84402	1927	0.02
84436	4437	0.05
84489	6998	0.03
84557	9574	0.00
84578	2103	0.01
84585	2110	0.02
84590	9607	0.02
84627	9644	0.08
84638	9655	0.05
84644	7153	0.05
84662	4663	0.08
84701	2226	0.04
84711	9728	0.02
84745	4746	0.00
84752	7261	0.04
84775	9792	0.04
84797	4798	0.01
84828	9845	0.03
84835	7344	0.06
84836	9853	0.08
84905	4906	0.06
84916	2441	0.05
84932	2457	0.07
84937	2462	0.02
84967	7476	0.01
84976	2501	0.05
84978	2503	0.05
85017	34	0.05
85027	5028	0.03
85033	2558	0.08
85047	5048	0.07
85058	2583	0.08
85074	91	0.04
85076	2601	0.04
85077	94	0.07
85113	130	0.04
85119	5120	0.04
85157	5158	0.07
85171	2696	0.05
85175	7684	0.05
85178	195	0.08
85183	200	0.02
85190	2715	0.08
85245	2770	0.05
85282	2807	0.03
85310	7819	0.01
85348	365	0.06
85431	448	0.04
85442	7951	0.04
85446	7955	0.08
85447	2972	0.07
85483	5484	0.00
85509	8018	0.08
85532	5533	0.05
85533	8042	0.08
85537	8046	0.08
85553	570	0.05
85553	3078	0.05
85561	3086	0.00
85587	604	0.08
85592	5593	0.01
85611	628	0.03
85619	8128	0.06
85626	5627	0.06
85642	8151	0.07
85643	8152	0.07
85699	8208	0.02
85703	720	0.05
85706	8215	0.05
85712	8221	0.04
85717	8226	0.02
85728	5729	0.06
85755	5756	0.03
85770	8279	0.07
85811	8320	0.06
85867	884	0.00
85878	8387	0.06
85879	5880	0.04
85917	934	0.04
85941	3466	0.08
85943	3468	0.03
85951	5952	0.02
85965	3490	0.01
85981	998	0.08
85996	5997	0.01
86034	1051	0.06
86050	8559	0.00
86060	8569	0.06
86080	8589	0.08
86136	6137	0.05
86153	1170	0.01
86177	1194	0.07
86195	3720	0.06
86202	3727	0.05
86203	1220	0.00
86228	8737	0.02
86234	6235	0.00
86241	8750	0.06
86273	8782	0.03
86281	1298	0.07
86290	6291	0.00
86304	8813	0.03
86334	6335	0.03
86351	3876	0.08
86362	8871	0.01
86382	8891	0.04
86425	6426	0.03
86431	1448	0.05
86435	8944	0.01
86438	8947	0.03
86458	6459	0.06
86467	1484	0.05
86472	1489	0.05
86478	1495	0.02
86482	1499	0.00
86490	1507	0.01
86493	9002	0.00
86504	6505	0.07
86513	9022	0.06
86543	9052	0.02
86576	1593	0.06
86600	4125	0.02
86609	1626	0.06
86626	1643	0.04
86655	4180	0.00
86667	4192	0.08
86688	1705	0.03
86699	6700	0.03
86716	6717	0.01
86747	1764	0.05
86794	6795	0.04
86827	9336	0.06
86830	6831	0.00
86856	6857	0.04
86867	1884	0.00
86906	9415	0.08
86915	1932	0.00
86927	1944	0.02
86998	2015	0.02
87055	2072	0.06
87061	9570	0.01
87105	2122	0.00
87111	4636	0.01
87114	4639	0.01
87154	2171	0.03
87168	7169	0.05
87191	2208	0.04
87210	4735	0.08
87262	4787	0.04
87268	7269	0.07
87270	9779	0.04
87287	4812	0.05
87341	4866	0.00
87373	4898	0.01
87380	7381	0.08
87393	2410	0.01
87395	7396	0.06
87405	9914	0.02
87415	4940	0.02
87422	4947	0.08
87426	2443	0.07
87427	9936	0.06
87483	9992	0.08
87509	2526	0.01
87514	7515	0.06
87581	7582	0.07
87608	2625	0.07
87670	7671	0.01
87698	207	0.01
87737	246	0.04
87745	254	0.03
87759	268	0.08
87761	5286	0.04
87791	2808	0.02
87820	7821	0.03
87832	5357	0.04
87876	5401	0.06
87935	444	0.02
87945	454	0.00
87969	478	0.04
88030	539	0.08
