cidx	CCHAR1	CAST(CCHAR1 AS CHAR(1))
cidx	CVCHAR255	CAST(CVCHAR255 AS CHAR(20))
1	aaaaaaaaaa	aaaaaaaaaa
2	j	j
3	jj	jj
4	jjj	jjj
5	jjjj	jjjj
6	qqqqqqq	qqqqqqq
7	qqqqqqqq	qqqqqqqq
8	qqqqqqqqq	qqqqqqqqq
9	qqqqqqqqqq	qqqqqqqqqq
10	zzzzzzzzzz	zzzzzzzzzz
11	NULL	NULL
cidx	CCHAR2
1	aa
3	bb
4	bb
5	bb
6	yy
7	yy
8	yy
9	yy
10	zz
cidx	CCHAR3
1	aaa
3	cc
4	ccc
5	ccc
6	xxx
7	xxx
8	xxx
9	xxx
10	zzz
cidx	CCHAR3
1	aaa
4	ccc
5	ccc
6	xxx
7	xxx
8	xxx
9	xxx
10	zzz
cidx	CCHAR4
1	aaaa
3	dd
4	ddd
5	dddd
6	wwww
7	wwww
8	wwww
9	wwww
10	zzzz
cidx	CCHAR4
1	aaaa
4	ddd
5	dddd
6	wwww
7	wwww
8	wwww
9	wwww
10	zzzz
cidx	CCHAR4
1	aaaa
5	dddd
6	wwww
7	wwww
8	wwww
9	wwww
10	zzzz
cidx	CCHAR5
1	aaaaa
3	ee
4	eee
5	eeee
6	vvvvv
7	vvvvv
8	vvvvv
9	vvvvv
10	zzzzz
cidx	CCHAR5
1	aaaaa
4	eee
5	eeee
6	vvvvv
7	vvvvv
8	vvvvv
9	vvvvv
10	zzzzz
cidx	CCHAR5
1	aaaaa
5	eeee
6	vvvvv
7	vvvvv
8	vvvvv
9	vvvvv
10	zzzzz
cidx	CCHAR5
1	aaaaa
6	vvvvv
7	vvvvv
8	vvvvv
9	vvvvv
10	zzzzz
cidx	CCHAR6
1	aaaaaa
3	ff
4	fff
5	ffff
6	uuuuuu
7	uuuuuu
8	uuuuuu
9	uuuuuu
10	zzzzzz
cidx	CCHAR6
1	aaaaaa
4	fff
5	ffff
6	uuuuuu
7	uuuuuu
8	uuuuuu
9	uuuuuu
10	zzzzzz
cidx	CCHAR6
1	aaaaaa
5	ffff
6	uuuuuu
7	uuuuuu
8	uuuuuu
9	uuuuuu
10	zzzzzz
cidx	CCHAR6
1	aaaaaa
6	uuuuuu
7	uuuuuu
8	uuuuuu
9	uuuuuu
10	zzzzzz
cidx	CCHAR6
1	aaaaaa
6	uuuuuu
7	uuuuuu
8	uuuuuu
9	uuuuuu
10	zzzzzz
cidx	CCHAR7
1	aaaaaaa
3	gg
4	ggg
5	gggg
6	ttttttt
7	ttttttt
8	ttttttt
9	ttttttt
10	zzzzzzz
cidx	CCHAR7
1	aaaaaaa
4	ggg
5	gggg
6	ttttttt
7	ttttttt
8	ttttttt
9	ttttttt
10	zzzzzzz
cidx	CCHAR7
1	aaaaaaa
5	gggg
6	ttttttt
7	ttttttt
8	ttttttt
9	ttttttt
10	zzzzzzz
cidx	CCHAR7
1	aaaaaaa
6	ttttttt
7	ttttttt
8	ttttttt
9	ttttttt
10	zzzzzzz
cidx	CCHAR7
1	aaaaaaa
6	ttttttt
7	ttttttt
8	ttttttt
9	ttttttt
10	zzzzzzz
cidx	CCHAR7
1	aaaaaaa
6	ttttttt
7	ttttttt
8	ttttttt
9	ttttttt
10	zzzzzzz
cidx	CCHAR8
1	aaaaaaaa
3	hh
4	hhh
5	hhhh
6	sssssss
7	ssssssss
8	ssssssss
9	ssssssss
10	zzzzzzzz
cidx	CCHAR8
1	aaaaaaaa
4	hhh
5	hhhh
6	sssssss
7	ssssssss
8	ssssssss
9	ssssssss
10	zzzzzzzz
cidx	CCHAR8
1	aaaaaaaa
5	hhhh
6	sssssss
7	ssssssss
8	ssssssss
9	ssssssss
10	zzzzzzzz
cidx	CCHAR8
1	aaaaaaaa
6	sssssss
7	ssssssss
8	ssssssss
9	ssssssss
10	zzzzzzzz
cidx	CCHAR8
1	aaaaaaaa
6	sssssss
7	ssssssss
8	ssssssss
9	ssssssss
10	zzzzzzzz
cidx	CCHAR8
1	aaaaaaaa
6	sssssss
7	ssssssss
8	ssssssss
9	ssssssss
10	zzzzzzzz
cidx	CCHAR8
1	aaaaaaaa
7	ssssssss
8	ssssssss
9	ssssssss
10	zzzzzzzz
cidx	CCHAR9
1	aaaaaaaaa
3	ii
4	iii
5	iiii
6	rrrrrrr
7	rrrrrrrr
8	rrrrrrrrr
9	rrrrrrrrr
10	zzzzzzzzz
cidx	CCHAR9
1	aaaaaaaaa
4	iii
5	iiii
6	rrrrrrr
7	rrrrrrrr
8	rrrrrrrrr
9	rrrrrrrrr
10	zzzzzzzzz
cidx	CCHAR9
1	aaaaaaaaa
5	iiii
6	rrrrrrr
7	rrrrrrrr
8	rrrrrrrrr
9	rrrrrrrrr
10	zzzzzzzzz
cidx	CCHAR9
1	aaaaaaaaa
6	rrrrrrr
7	rrrrrrrr
8	rrrrrrrrr
9	rrrrrrrrr
10	zzzzzzzzz
cidx	CCHAR9
1	aaaaaaaaa
6	rrrrrrr
7	rrrrrrrr
8	rrrrrrrrr
9	rrrrrrrrr
10	zzzzzzzzz
cidx	CCHAR9
1	aaaaaaaaa
6	rrrrrrr
7	rrrrrrrr
8	rrrrrrrrr
9	rrrrrrrrr
10	zzzzzzzzz
cidx	CCHAR9
1	aaaaaaaaa
7	rrrrrrrr
8	rrrrrrrrr
9	rrrrrrrrr
10	zzzzzzzzz
cidx	CCHAR9
1	aaaaaaaaa
8	rrrrrrrrr
9	rrrrrrrrr
10	zzzzzzzzz
cidx	CCHAR255
1	aaaaaaaaaa
3	jj
4	jjj
5	jjjj
6	qqqqqqq
7	qqqqqqqq
8	qqqqqqqqq
9	qqqqqqqqqq
10	zzzzzzzzzz
cidx	CCHAR255
1	aaaaaaaaaa
4	jjj
5	jjjj
6	qqqqqqq
7	qqqqqqqq
8	qqqqqqqqq
9	qqqqqqqqqq
10	zzzzzzzzzz
cidx	CCHAR255
1	aaaaaaaaaa
5	jjjj
6	qqqqqqq
7	qqqqqqqq
8	qqqqqqqqq
9	qqqqqqqqqq
10	zzzzzzzzzz
cidx	CCHAR255
1	aaaaaaaaaa
6	qqqqqqq
7	qqqqqqqq
8	qqqqqqqqq
9	qqqqqqqqqq
10	zzzzzzzzzz
cidx	CCHAR255
1	aaaaaaaaaa
6	qqqqqqq
7	qqqqqqqq
8	qqqqqqqqq
9	qqqqqqqqqq
10	zzzzzzzzzz
cidx	CCHAR255
1	aaaaaaaaaa
6	qqqqqqq
7	qqqqqqqq
8	qqqqqqqqq
9	qqqqqqqqqq
10	zzzzzzzzzz
cidx	CCHAR255
1	aaaaaaaaaa
7	qqqqqqqq
8	qqqqqqqqq
9	qqqqqqqqqq
10	zzzzzzzzzz
cidx	CCHAR255
1	aaaaaaaaaa
8	qqqqqqqqq
9	qqqqqqqqqq
10	zzzzzzzzzz
cidx	CCHAR255
1	aaaaaaaaaa
9	qqqqqqqqqq
10	zzzzzzzzzz
cidx	CVCHAR2
1	aa
3	bb
4	bb
5	bb
6	yy
7	yy
8	yy
9	yy
10	zz
cidx	CVCHAR3
1	aaa
3	cc
4	ccc
5	ccc
6	xxx
7	xxx
8	xxx
9	xxx
10	zzz
cidx	CVCHAR3
1	aaa
4	ccc
5	ccc
6	xxx
7	xxx
8	xxx
9	xxx
10	zzz
cidx	CVCHAR4
1	aaaa
3	dd
4	ddd
5	dddd
6	wwww
7	wwww
8	wwww
9	wwww
10	zzzz
cidx	CVCHAR4
1	aaaa
4	ddd
5	dddd
6	wwww
7	wwww
8	wwww
9	wwww
10	zzzz
cidx	CVCHAR4
1	aaaa
5	dddd
6	wwww
7	wwww
8	wwww
9	wwww
10	zzzz
cidx	CVCHAR5
1	aaaaa
3	ee
4	eee
5	eeee
6	vvvvv
7	vvvvv
8	vvvvv
9	vvvvv
10	zzzzz
cidx	CVCHAR5
1	aaaaa
4	eee
5	eeee
6	vvvvv
7	vvvvv
8	vvvvv
9	vvvvv
10	zzzzz
cidx	CVCHAR5
1	aaaaa
5	eeee
6	vvvvv
7	vvvvv
8	vvvvv
9	vvvvv
10	zzzzz
cidx	CVCHAR5
1	aaaaa
6	vvvvv
7	vvvvv
8	vvvvv
9	vvvvv
10	zzzzz
cidx	CVCHAR6
1	aaaaaa
3	ff
4	fff
5	ffff
6	uuuuuu
7	uuuuuu
8	uuuuuu
9	uuuuuu
10	zzzzzz
cidx	CVCHAR6
1	aaaaaa
4	fff
5	ffff
6	uuuuuu
7	uuuuuu
8	uuuuuu
9	uuuuuu
10	zzzzzz
cidx	CVCHAR6
1	aaaaaa
5	ffff
6	uuuuuu
7	uuuuuu
8	uuuuuu
9	uuuuuu
10	zzzzzz
cidx	CVCHAR6
1	aaaaaa
6	uuuuuu
7	uuuuuu
8	uuuuuu
9	uuuuuu
10	zzzzzz
cidx	CVCHAR6
1	aaaaaa
6	uuuuuu
7	uuuuuu
8	uuuuuu
9	uuuuuu
10	zzzzzz
cidx	CVCHAR7
1	aaaaaaa
3	gg
4	ggg
5	gggg
6	ttttttt
7	ttttttt
8	ttttttt
9	ttttttt
10	zzzzzzz
cidx	CVCHAR7
1	aaaaaaa
4	ggg
5	gggg
6	ttttttt
7	ttttttt
8	ttttttt
9	ttttttt
10	zzzzzzz
cidx	CVCHAR7
1	aaaaaaa
5	gggg
6	ttttttt
7	ttttttt
8	ttttttt
9	ttttttt
10	zzzzzzz
cidx	CVCHAR7
1	aaaaaaa
6	ttttttt
7	ttttttt
8	ttttttt
9	ttttttt
10	zzzzzzz
cidx	CVCHAR7
1	aaaaaaa
6	ttttttt
7	ttttttt
8	ttttttt
9	ttttttt
10	zzzzzzz
cidx	CVCHAR7
1	aaaaaaa
6	ttttttt
7	ttttttt
8	ttttttt
9	ttttttt
10	zzzzzzz
cidx	CVCHAR8
1	aaaaaaaa
3	hh
4	hhh
5	hhhh
6	sssssss
7	ssssssss
8	ssssssss
9	ssssssss
10	zzzzzzzz
cidx	CVCHAR8
1	aaaaaaaa
4	hhh
5	hhhh
6	sssssss
7	ssssssss
8	ssssssss
9	ssssssss
10	zzzzzzzz
cidx	CVCHAR8
1	aaaaaaaa
5	hhhh
6	sssssss
7	ssssssss
8	ssssssss
9	ssssssss
10	zzzzzzzz
cidx	CVCHAR8
1	aaaaaaaa
6	sssssss
7	ssssssss
8	ssssssss
9	ssssssss
10	zzzzzzzz
cidx	CVCHAR8
1	aaaaaaaa
6	sssssss
7	ssssssss
8	ssssssss
9	ssssssss
10	zzzzzzzz
cidx	CVCHAR8
1	aaaaaaaa
6	sssssss
7	ssssssss
8	ssssssss
9	ssssssss
10	zzzzzzzz
cidx	CVCHAR8
1	aaaaaaaa
7	ssssssss
8	ssssssss
9	ssssssss
10	zzzzzzzz
cidx	CVCHAR255
1	aaaaaaaaaa
3	jj
4	jjj
5	jjjj
6	qqqqqqq
7	qqqqqqqq
8	qqqqqqqqq
9	qqqqqqqqqq
10	zzzzzzzzzz
cidx	CVCHAR255
1	aaaaaaaaaa
4	jjj
5	jjjj
6	qqqqqqq
7	qqqqqqqq
8	qqqqqqqqq
9	qqqqqqqqqq
10	zzzzzzzzzz
cidx	CVCHAR255
1	aaaaaaaaaa
5	jjjj
6	qqqqqqq
7	qqqqqqqq
8	qqqqqqqqq
9	qqqqqqqqqq
10	zzzzzzzzzz
cidx	CVCHAR255
1	aaaaaaaaaa
6	qqqqqqq
7	qqqqqqqq
8	qqqqqqqqq
9	qqqqqqqqqq
10	zzzzzzzzzz
cidx	CVCHAR255
1	aaaaaaaaaa
6	qqqqqqq
7	qqqqqqqq
8	qqqqqqqqq
9	qqqqqqqqqq
10	zzzzzzzzzz
cidx	CVCHAR255
1	aaaaaaaaaa
6	qqqqqqq
7	qqqqqqqq
8	qqqqqqqqq
9	qqqqqqqqqq
10	zzzzzzzzzz
cidx	CVCHAR255
1	aaaaaaaaaa
7	qqqqqqqq
8	qqqqqqqqq
9	qqqqqqqqqq
10	zzzzzzzzzz
cidx	CVCHAR255
1	aaaaaaaaaa
8	qqqqqqqqq
9	qqqqqqqqqq
10	zzzzzzzzzz
cidx	CVCHAR255
1	aaaaaaaaaa
9	qqqqqqqqqq
10	zzzzzzzzzz
