cidx	CDATE	DATE_SUB(CDATE, INTERVAL '01:22' YEAR_MONTH)
10	2009-12-31	2009-11-02
11	2009-12-31	2009-11-02
cidx	CDATE	DATE_SUB(CDATE, INTERVAL 59 second)
1	1997-01-01	1996-12-31 23:59:01
2	1997-01-01	1996-12-31 23:59:01
3	1997-01-02	1997-01-01 23:59:01
4	1997-01-03	1997-01-02 23:59:01
5	1997-01-04	1997-01-03 23:59:01
6	2009-12-28	2009-12-27 23:59:01
7	2009-12-29	2009-12-28 23:59:01
8	2009-12-30	2009-12-29 23:59:01
9	2009-12-31	2009-12-30 23:59:01
10	2009-12-31	2009-12-30 23:59:01
11	2009-12-31	2009-12-30 23:59:01
cidx	CDATE	DATE_SUB(CDATE, INTERVAL 5 week)
1	1997-01-01	1996-11-27
2	1997-01-01	1996-11-27
3	1997-01-02	1996-11-28
4	1997-01-03	1996-11-29
5	1997-01-04	1996-11-30
6	2009-12-28	2009-11-23
7	2009-12-29	2009-11-24
8	2009-12-30	2009-11-25
9	2009-12-31	2009-11-26
10	2009-12-31	2009-11-26
11	2009-12-31	2009-11-26
cidx	CDATE	DATE_SUB(CDATE, INTERVAL -60 day)
1	1997-01-01	1997-03-02
2	1997-01-01	1997-03-02
3	1997-01-02	1997-03-03
4	1997-01-03	1997-03-04
5	1997-01-04	1997-03-05
6	2009-12-28	2010-02-26
7	2009-12-29	2010-02-27
8	2009-12-30	2010-02-28
9	2009-12-31	2010-03-01
10	2009-12-31	2010-03-01
11	2009-12-31	2010-03-01
cidx	CDATE	DATE_SUB(CDATE, INTERVAL 60 day)
1	1997-01-01	1996-11-02
2	1997-01-01	1996-11-02
3	1997-01-02	1996-11-03
4	1997-01-03	1996-11-04
5	1997-01-04	1996-11-05
6	2009-12-28	2009-10-29
7	2009-12-29	2009-10-30
8	2009-12-30	2009-10-31
9	2009-12-31	2009-11-01
10	2009-12-31	2009-11-01
11	2009-12-31	2009-11-01
cidx	CDATE	DATE_SUB(CDATE, INTERVAL 60 second)
1	1997-01-01	1996-12-31 23:59:00
2	1997-01-01	1996-12-31 23:59:00
3	1997-01-02	1997-01-01 23:59:00
4	1997-01-03	1997-01-02 23:59:00
5	1997-01-04	1997-01-03 23:59:00
6	2009-12-28	2009-12-27 23:59:00
7	2009-12-29	2009-12-28 23:59:00
8	2009-12-30	2009-12-29 23:59:00
9	2009-12-31	2009-12-30 23:59:00
10	2009-12-31	2009-12-30 23:59:00
11	2009-12-31	2009-12-30 23:59:00
cidx	CDATE	DATE_SUB(CDATE, INTERVAL -61 day)
1	1997-01-01	1997-03-03
2	1997-01-01	1997-03-03
3	1997-01-02	1997-03-04
4	1997-01-03	1997-03-05
5	1997-01-04	1997-03-06
6	2009-12-28	2010-02-27
7	2009-12-29	2010-02-28
8	2009-12-30	2010-03-01
9	2009-12-31	2010-03-02
10	2009-12-31	2010-03-02
11	2009-12-31	2010-03-02
cidx	CDATE	DATE_SUB(CDATE, INTERVAL 61 day)
1	1997-01-01	1996-11-01
2	1997-01-01	1996-11-01
3	1997-01-02	1996-11-02
4	1997-01-03	1996-11-03
5	1997-01-04	1996-11-04
6	2009-12-28	2009-10-28
7	2009-12-29	2009-10-29
8	2009-12-30	2009-10-30
9	2009-12-31	2009-10-31
10	2009-12-31	2009-10-31
11	2009-12-31	2009-10-31
cidx	CDATE	DATE_SUB(CDATE, INTERVAL 61 minute)
1	1997-01-01	1996-12-31 22:59:00
2	1997-01-01	1996-12-31 22:59:00
3	1997-01-02	1997-01-01 22:59:00
4	1997-01-03	1997-01-02 22:59:00
5	1997-01-04	1997-01-03 22:59:00
6	2009-12-28	2009-12-27 22:59:00
7	2009-12-29	2009-12-28 22:59:00
8	2009-12-30	2009-12-29 22:59:00
9	2009-12-31	2009-12-30 22:59:00
10	2009-12-31	2009-12-30 22:59:00
11	2009-12-31	2009-12-30 22:59:00
cidx	CDATE	DATE_SUB(CDATE, INTERVAL 61 second)
1	1997-01-01	1996-12-31 23:58:59
2	1997-01-01	1996-12-31 23:58:59
3	1997-01-02	1997-01-01 23:58:59
4	1997-01-03	1997-01-02 23:58:59
5	1997-01-04	1997-01-03 23:58:59
6	2009-12-28	2009-12-27 23:58:59
7	2009-12-29	2009-12-28 23:58:59
8	2009-12-30	2009-12-29 23:58:59
9	2009-12-31	2009-12-30 23:58:59
10	2009-12-31	2009-12-30 23:58:59
11	2009-12-31	2009-12-30 23:58:59
cidx	CDATE	DATE_SUB(CDATE, INTERVAL -62 day)
1	1997-01-01	1997-03-04
2	1997-01-01	1997-03-04
3	1997-01-02	1997-03-05
4	1997-01-03	1997-03-06
5	1997-01-04	1997-03-07
6	2009-12-28	2010-02-28
7	2009-12-29	2010-03-01
8	2009-12-30	2010-03-02
9	2009-12-31	2010-03-03
10	2009-12-31	2010-03-03
11	2009-12-31	2010-03-03
cidx	CDATE	DATE_SUB(CDATE, INTERVAL -63 day)
1	1997-01-01	1997-03-05
2	1997-01-01	1997-03-05
3	1997-01-02	1997-03-06
4	1997-01-03	1997-03-07
5	1997-01-04	1997-03-08
6	2009-12-28	2010-03-01
7	2009-12-29	2010-03-02
8	2009-12-30	2010-03-03
9	2009-12-31	2010-03-04
10	2009-12-31	2010-03-04
11	2009-12-31	2010-03-04
cidx	CDATE	DATE_SUB(CDATE, INTERVAL -64 day)
1	1997-01-01	1997-03-06
2	1997-01-01	1997-03-06
3	1997-01-02	1997-03-07
4	1997-01-03	1997-03-08
5	1997-01-04	1997-03-09
6	2009-12-28	2010-03-02
7	2009-12-29	2010-03-03
8	2009-12-30	2010-03-04
9	2009-12-31	2010-03-05
10	2009-12-31	2010-03-05
11	2009-12-31	2010-03-05
cidx	CDATETIME	DATE_SUB(CDATETIME, INTERVAL 3 DAY)
1	1997-01-01 00:00:00	1996-12-29 00:00:00
2	1997-01-01 00:00:01	1996-12-29 00:00:01
3	1997-01-02 00:00:01	1996-12-30 00:00:01
4	1997-01-03 00:00:02	1996-12-31 00:00:02
5	1997-01-04 00:00:03	1997-01-01 00:00:03
6	2009-12-31 23:59:56	2009-12-28 23:59:56
7	2009-12-31 23:59:57	2009-12-28 23:59:57
8	2009-12-31 23:59:58	2009-12-28 23:59:58
9	2009-12-31 23:59:59	2009-12-28 23:59:59
10	2009-12-31 23:59:59	2009-12-28 23:59:59
11	2009-12-31 23:59:59	2009-12-28 23:59:59
